tweet_text,followers_count
@AERIALMAGZC @penguinnyyyyy you won't be afraid if I give you a real reason :D,157
"Vibing in the office to #Metallica when the boss is on a coffee break 
#TheOffice https://t.co/U5vdYevvfe",4687
I feel like Ann says she likes coffee and then gets drinks that are 99% sugar and 1% coffee https://t.co/HfuBV4v3aY,104
"A venti iced coffee with four pumps of white mocha, sweet cream and caramel drizzle might just be my new favorite drink. Shout out to TikTok lol",126
I was never a coffee person until I had kids. ☕️ this cup is a life saver. https://t.co/Zo0CnVuiGj,1595
"Who's excited about our next Coffee Chat? We know we are!🥳

We're also adding Representative John Bradford to this lineup to discuss redistricting in the area. You won't want to miss it!

RSVP: https://t.co/R3YNJjJCUG
Join the meeting: https://t.co/Ho4Kx7ZZ24 https://t.co/KfPdR3hupY",5004
he paid for my coffee= husband💗,165
"It's nipply outside, and now I side too :)
That sounds like blowjob in front of a fire and visit with coffee after :)
I'm still out of coffee
I could have green tea instead
Hahahahahahaha
I want to spend the morning pampering you ...",0
Good morning 😃🌞☀️ I hope everyone has a great Tuesday morning. Enjoy your day and coffee ☕️ ♥️❤️💕🥰😘,189
@MarvinMilton2 I nearly choked on my coffee 🤪,1160
@ckaiserjr @perry_ron @LILGUYISBACK Is it okay if the hot water is flavored with coffee?,16602
I need an express or machine I was on coffee tik tok and I now hate #starbucks!,1031
@TubboUpdatess coffee time 🔥🔥🔥,4647
Good morning from me and Tim‼️Tim decided to wake my ace up at 930... I didn't fall asleep until 530 so I got my 4 hrs of sleep thanks TIM... That's called delayed sleep phase syndrome and wake the buck up Rik.. I need some ******** never mind some  hot jungle juice called coffee https://t.co/70CQzHTVTn,0
@elonmusk When it comes to Apple pie I would rather have tau than pi.....and huge coffee...lol,5
I went out for coffee and a sandwich just to settle for a red Bull and pack of spirits 😪😮‍💨,368
"@DTM_Woodworks @Julius_Kim I was just going to say the same. 😂😂

Julius, sweetie, ice is already frozen.  You need more coffee and a donut. 😊",651
4th cup of coffee ☕🥱,367
"Nah, I think this is going on the coffee table. https://t.co/m5vPnHhmzG",58
"@Odyne_LaFee No coffee, I'll take a good hot chocolate though.",703
"@gyaigyimii Retaliation is a must. You think if you do that you'll loose your followers ???
Ask @thenanaaba what she does to those brat.",600
